"REGION","YEAR","EVENT_TYPE","FATALITIES","INJURIES","DAMAGE_PROPERTY","DAMAGE_CROP"
"NORTHEAST",2006,"HEAT",42,0,0,0
"SOUTH",2006,"HEAT",5,4,0,76500
"SOUTHEAST",2006,"HEAT",2,0,0,0
"SOUTHWEST",2006,"HEAT",67,47,170000,492400000
"CENTRAL",2007,"HEAT",13,532,0,0
"MID-ATLANTIC",2007,"HEAT",3,1,0,0
"SOUTH",2007,"HEAT",7,22,0,0
"SOUTHEAST",2007,"HEAT",1,0,0,0
"SOUTHWEST",2007,"HEAT",20,11,0,0
"CENTRAL",2008,"HEAT",3,111,0,0
"MID-ATLANTIC",2008,"HEAT",7,17,0,0
"NORTHEAST",2008,"HEAT",2,0,0,0
"SOUTH",2008,"HEAT",2,10,0,0
"SOUTHWEST",2008,"HEAT",28,1,0,0
"CENTRAL",2009,"HEAT",5,7,1500000,0
"MID-ATLANTIC",2009,"HEAT",2,3,0,0
"NORTHWEST",2009,"HEAT",1,0,0,0
"SOUTH",2009,"HEAT",7,12,0,0
"SOUTHEAST",2009,"HEAT",2,0,0,0
"SOUTHWEST",2009,"HEAT",16,4,10000,0
"CENTRAL",2010,"HEAT",12,64,0,0
"MID-ATLANTIC",2010,"HEAT",8,28,0,0
"NORTHEAST",2010,"HEAT",6,0,0,0
"NORTHWEST",2010,"HEAT",1,0,0,0
"SOUTH",2010,"HEAT",28,10,90000,1e+05
"SOUTHEAST",2010,"HEAT",4,0,0,0
"SOUTHWEST",2010,"HEAT",24,0,0,0
"CENTRAL",2011,"HEAT",33,124,943200,0
"MID-ATLANTIC",2011,"HEAT",13,16,0,0
"NORTHEAST",2011,"HEAT",8,0,0,0
"SOUTH",2011,"HEAT",15,27,0,0
"SOUTHEAST",2011,"HEAT",0,9,0,0
"SOUTHWEST",2011,"HEAT",30,573,2e+05,0
"MID-ATLANTIC",1996,"HURRICANE",15,16,1349280000,213845000
"NORTHEAST",1996,"HURRICANE",0,2,0,0
"SOUTHEAST",1996,"HURRICANE",2,0,0,0
"SOUTH",1997,"HURRICANE",1,0,65500000,2500000
"MID-ATLANTIC",1998,"HURRICANE",1,4,119350000,240210000
"SOUTH",1998,"HURRICANE",1,0,878262000,5e+06
"SOUTHEAST",1998,"HURRICANE",2,5,459510000,1.5e+07
"SOUTHWEST",1998,"HURRICANE",0,0,10000,0
"MID-ATLANTIC",1999,"HURRICANE",15,0,3649701000,1026875000
"SOUTHEAST",1999,"HURRICANE",1,4,395450000,3.38e+08
"SOUTHEAST",2000,"HURRICANE",0,0,5050000,0
"SOUTHEAST",2001,"HURRICANE",0,0,50000,0
"SOUTH",2002,"HURRICANE",0,3,519255010,1.68e+08
"MID-ATLANTIC",2003,"HURRICANE",6,0,975690000,28870000
"SOUTHWEST",2003,"HURRICANE",0,2,10880000,0
"MID-ATLANTIC",2004,"HURRICANE",0,6,31110000,5350000
"SOUTH",2004,"HURRICANE",1,0,2521530000,25500800
"SOUTHEAST",2004,"HURRICANE",22,796,15719115000,531900000
"CENTRAL",2005,"HURRICANE",0,0,750000,7700000
"MID-ATLANTIC",2005,"HURRICANE",0,5,50460000,11500000
"SOUTH",2005,"HURRICANE",16,104,35588615000,1569380000
"SOUTHEAST",2005,"HURRICANE",13,6,11885450000,423300000
"SOUTHWEST",2005,"HURRICANE",5,3,2249500000,0
"SOUTH",2007,"HURRICANE",0,0,2e+05,0
"SOUTHWEST",2007,"HURRICANE",1,12,37500000,0
"SOUTH",2008,"HURRICANE",1,0,574130000,1.7e+08
"SOUTHWEST",2008,"HURRICANE",0,0,1845250000,0
"MID-ATLANTIC",2011,"HURRICANE",0,0,10500000,10500000
"CENTRAL",1996,"LIGHTNING",15,79,11712750,10000
"MID-ATLANTIC",1996,"LIGHTNING",3,59,11598700,30000
"NORTHEAST",1996,"LIGHTNING",2,37,557000,0
"NORTHWEST",1996,"LIGHTNING",3,3,423500,0
"SOUTH",1996,"LIGHTNING",7,17,3340300,240
"SOUTHEAST",1996,"LIGHTNING",10,87,1481500,0
"SOUTHWEST",1996,"LIGHTNING",13,33,5289000,11600
"CENTRAL",1997,"LIGHTNING",11,56,8489600,12000
"MID-ATLANTIC",1997,"LIGHTNING",5,38,7404100,0
"NORTHEAST",1997,"LIGHTNING",1,40,4477000,10000
"NORTHWEST",1997,"LIGHTNING",2,7,2650300,9000
"SOUTH",1997,"LIGHTNING",1,36,3195800,5000
"SOUTHEAST",1997,"LIGHTNING",9,58,3781000,0
"SOUTHWEST",1997,"LIGHTNING",13,72,10130000,3e+05
"CENTRAL",1998,"LIGHTNING",10,31,20729600,65000
"MID-ATLANTIC",1998,"LIGHTNING",8,63,5250500,0
"NORTHEAST",1998,"LIGHTNING",1,39,1037500,0
"NORTHWEST",1998,"LIGHTNING",3,12,331000,0
"SOUTH",1998,"LIGHTNING",6,41,2417000,0
"SOUTHEAST",1998,"LIGHTNING",9,50,4526500,3e+06
"SOUTHWEST",1998,"LIGHTNING",7,47,3695200,0
"CENTRAL",1999,"LIGHTNING",12,54,5612950,1000
"MID-ATLANTIC",1999,"LIGHTNING",6,45,2112200,4000
"NORTHEAST",1999,"LIGHTNING",1,15,794300,0
"NORTHWEST",1999,"LIGHTNING",5,14,1108500,0
"SOUTH",1999,"LIGHTNING",7,12,9552000,30000
"SOUTHEAST",1999,"LIGHTNING",7,52,9789400,0
"SOUTHWEST",1999,"LIGHTNING",8,49,3337510,0
"CENTRAL",2000,"LIGHTNING",5,45,10606700,0
"MID-ATLANTIC",2000,"LIGHTNING",10,50,6435700,0
"NORTHEAST",2000,"LIGHTNING",4,62,1434000,0
"NORTHWEST",2000,"LIGHTNING",0,7,1196500,120000
"SOUTH",2000,"LIGHTNING",8,16,2373010,0
"SOUTHEAST",2000,"LIGHTNING",12,111,13991500,0
"SOUTHWEST",2000,"LIGHTNING",12,80,3952000,10000
"CENTRAL",2001,"LIGHTNING",13,72,14584500,300
"MID-ATLANTIC",2001,"LIGHTNING",8,66,12262000,2007500
"NORTHEAST",2001,"LIGHTNING",1,51,4158000,0
"NORTHWEST",2001,"LIGHTNING",0,9,445000,0
"SOUTH",2001,"LIGHTNING",5,48,3048250,0
"SOUTHEAST",2001,"LIGHTNING",9,93,4024500,0
"SOUTHWEST",2001,"LIGHTNING",6,32,5050550,0
"CENTRAL",2002,"LIGHTNING",11,50,8781450,3000
"MID-ATLANTIC",2002,"LIGHTNING",7,53,8575500,0
"NORTHEAST",2002,"LIGHTNING",3,34,5248500,1000
"NORTHWEST",2002,"LIGHTNING",2,11,193000,0
"SOUTH",2002,"LIGHTNING",13,56,12343150,0
"SOUTHEAST",2002,"LIGHTNING",11,44,7223000,15000
"SOUTHWEST",2002,"LIGHTNING",4,8,1143000,0
"CENTRAL",2003,"LIGHTNING",6,41,3941750,1000
"MID-ATLANTIC",2003,"LIGHTNING",6,59,6310400,0
"NORTHEAST",2003,"LIGHTNING",0,37,3527000,0
"NORTHWEST",2003,"LIGHTNING",2,16,168500,0
"SOUTH",2003,"LIGHTNING",0,11,1527100,0
"SOUTHEAST",2003,"LIGHTNING",12,46,5562000,0
"SOUTHWEST",2003,"LIGHTNING",16,27,4287000,42000
"CENTRAL",2004,"LIGHTNING",3,30,4886000,0
"MID-ATLANTIC",2004,"LIGHTNING",4,27,7480000,0
"NORTHEAST",2004,"LIGHTNING",3,39,3117500,0
"NORTHWEST",2004,"LIGHTNING",0,6,79000,0
"SOUTH",2004,"LIGHTNING",6,21,2495000,0
"SOUTHEAST",2004,"LIGHTNING",10,59,6861500,40000
"SOUTHWEST",2004,"LIGHTNING",7,97,1087000,1800
"CENTRAL",2005,"LIGHTNING",8,62,14958900,0
